,intolerance_1,intolerance_2,minority_pc_1,minority_pc_2,Run,Avg pct similar neighbors (A) dim 1,Avg pct similar neighbors (A) dim 2,Avg pct similar neighbors (B) dim 1,Avg pct similar neighbors (B) dim 2,Pct Happy,Pct Happy Group A dim 1,Pct Happy Group A dim 2,Pct Happy Group B dim 1,Pct Happy Group B dim 2,height,width,num_agents,stopping_level
189,0.125,0.5,0.4,0.4,189,100.0,91.4,47.8,87.0,97.0,96.7,100.0,97.5,92.5,16,16,200,1
190,0.125,0.5,0.5,0.5,190,100.0,92.5,52.2,92.4,99.0,99.0,99.0,99.0,99.0,16,16,200,1
191,0.125,0.5,0.5,0.5,191,100.0,89.0,53.4,87.4,97.5,96.0,95.0,99.0,100.0,16,16,200,1
192,0.125,0.5,0.5,0.5,192,100.0,93.5,51.5,93.7,99.5,100.0,100.0,99.0,99.0,16,16,200,1
193,0.125,0.5,0.5,0.5,193,100.0,86.0,51.1,85.6,98.0,98.0,96.0,98.0,100.0,16,16,200,1
194,0.125,0.5,0.5,0.5,194,100.0,92.4,50.3,92.5,100.0,100.0,100.0,100.0,100.0,16,16,200,1
195,0.125,0.5,0.5,0.5,195,100.0,92.6,51.2,93.0,99.5,100.0,100.0,99.0,99.0,16,16,200,1
196,0.125,0.5,0.5,0.5,196,100.0,90.9,52.5,91.0,99.5,100.0,100.0,99.0,99.0,16,16,200,1
197,0.125,0.5,0.5,0.5,197,100.0,97.2,52.6,96.8,100.0,100.0,100.0,100.0,100.0,16,16,200,1
198,0.125,0.5,0.5,0.5,198,100.0,93.1,51.7,93.2,100.0,100.0,100.0,100.0,100.0,16,16,200,1
199,0.125,0.5,0.5,0.5,199,100.0,91.3,49.1,91.8,98.5,100.0,98.0,97.0,99.0,16,16,200,1
